order_id,customer_id,order_date,order_value,status
1,7271,2025-11-01 00:00:00.000000000,159.32059585572335,delivered
2,861,2025-11-01 00:01:43.682073641,193.74307846511823,delivered
3,5391,2025-11-01 00:03:27.364147282,112.7897782680512,delivered
4,5192,2025-11-01 00:05:11.046220924,107.00638975587657,delivered
5,5735,2025-11-01 00:06:54.728294565,12.476078408558045,delivered
6,6266,2025-11-01 00:08:38.410368207,44.31544075129066,delivered
7,467,2025-11-01 00:10:22.092441848,104.54785618664498,delivered
8,4427,2025-11-01 00:12:05.774515490,152.98773861107648,pending
9,5579,2025-11-01 00:13:49.456589131,166.29448982394757,delivered
10,8323,2025-11-01 00:15:33.138662773,63.82060477419477,delivered
11,1686,2025-11-01 00:17:16.820736414,145.3668760416423,delivered
12,770,2025-11-01 00:19:00.502810056,167.42059368552125,delivered
13,6950,2025-11-01 00:20:44.184883697,81.21283872169266,delivered
14,2434,2025-11-01 00:22:27.866957339,142.1556139146766,pending
15,5312,2025-11-01 00:24:11.549030980,93.08341609812096,delivered
16,5052,2025-11-01 00:25:55.231104622,197.27392700071061,delivered
17,6421,2025-11-01 00:27:38.913178263,11.266833578741362,delivered
18,1185,2025-11-01 00:29:22.595251905,88.7255575314934,delivered
19,4556,2025-11-01 00:31:06.277325546,60.1061165471195,delivered
20,3386,2025-11-01 00:32:49.959399187,171.44994511210717,delivered
21,6397,2025-11-01 00:34:33.641472829,64.5539082933648,delivered
22,8667,2025-11-01 00:36:17.323546470,113.33063997982913,delivered
23,9275,2025-11-01 00:38:01.005620112,150.65119515747958,delivered
24,2559,2025-11-01 00:39:44.687693753,104.47375205359631,pending
25,7850,2025-11-01 00:41:28.369767395,87.97648444029673,delivered
26,2048,2025-11-01 00:43:12.051841036,18.078420941699108,delivered
27,2748,2025-11-01 00:44:55.733914678,14.357112063389529,cancelled
28,9168,2025-11-01 00:46:39.415988319,191.8912170608374,delivered
29,9999,2025-11-01 00:48:23.098061961,132.21637092504147,delivered
30,190,2025-11-01 00:50:06.780135602,166.7982216787612,delivered
31,2735,2025-11-01 00:51:50.462209244,101.28329262272028,delivered
32,3006,2025-11-01 00:53:34.144282885,59.700389272480265,delivered
33,4659,2025-11-01 00:55:17.826356527,65.96217815438098,delivered
34,1900,2025-11-01 00:57:01.508430168,18.263407516126083,delivered
35,7735,2025-11-01 00:58:45.190503810,160.26786810242422,pending
36,1268,2025-11-01 01:00:28.872577451,120.49844833269324,cancelled
37,1529,2025-11-01 01:02:12.554651093,101.35233760880138,delivered
38,3557,2025-11-01 01:03:56.236724734,171.93643848689828,delivered
39,3891,2025-11-01 01:05:39.918798375,94.5205552491457,delivered
40,8839,2025-11-01 01:07:23.600872017,190.1067284685242,delivered
41,5394,2025-11-01 01:09:07.282945658,12.514940582667528,delivered
42,8793,2025-11-01 01:10:50.965019300,197.07710862081797,delivered
43,8434,2025-11-01 01:12:34.647092941,165.01787116498826,pending
44,7514,2025-11-01 01:14:18.329166583,77.43844841339886,delivered
45,2613,2025-11-01 01:16:02.011240224,123.11907642253058,delivered
46,7042,2025-11-01 01:17:45.693313866,174.2749523094981,delivered
47,9556,2025-11-01 01:19:29.375387507,101.50368708529037,delivered
